text,label,notes
"Great adventure game. So many things to do. Similar to Skyrim, Elden Ring, Dark Souls, and Witcher.",opinion,
"IF YOU BUY THIS GAME YOU WILL BE SCAMMED. DON'T BE FOOLED BY THE GRAPHICS. DO NOT TRUST POSITIVE REVIEWS.",opinion,
"Crimson Desert is a mix bag. The main story writing was abysmal. Exploration is its strongest aspect. Gameplay feels like what they worked on the most.",opinion,
"Best game of my LIFE - Wow -",joke_meme,
"I got this game to explore, do puzzles, and be in combat. This game does just that. Worth every penny.",opinion,
"Unplayable. Don't buy. The hand holding is beyond infuriating; the control scheme is probably the most baffling I've ever seen in a video game.",opinion,
"AHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH",joke_meme,
"A good game but some of the bosses are really annoying to fight, not because of difficulty but because of weird game mechanics.",opinion,
"This is the game I've been waiting for. A ton of depth and a decent story. Loving it.",opinion,
"Just Might Be One Of The Games Of All Time",joke_meme,
"Yesssssss",joke_meme,
"very good",opinion,
"mm",joke_meme,
"very good",opinion,
"This game is outstanding if you don't give up! Crimson Desert will keep your attention for many months or even years.",opinion,
"92 hours in and I've still just scratched the surface outside of Hernand. So many game mechanics and different areas to explore.",opinion,
"Almost 50 hours in and I feel like I've only just started. The amount of patch updates and fixes have made this an absolute joy to play.",opinion,
"Game looks wonderful. Meh story and characterization. 9 out of 10 honestly if it had a strong engaging narrative.",opinion,
"Ye",joke_meme,
"Is there a way to completely disable ray tracing? It makes the game look blurry and dirty even with the setting turned off.",technical,
"Never been so disappointed. What is the story here? The combat is clunky. Characters named Kliff, Ryan and Duane???",opinion,
"great game some mechanics confuse me tho",opinion,
"Very fun game with a great open world. Only real issue is how obscure puzzles and certain mechanics can be.",opinion,
"easily the best single player game ive played in almost 10+ years",opinion,
"Amazing game with a great number of mechanics and systems. 400+ hours in and don't see myself stopping soon.",opinion,
"Lack of mod support. Convoluted button mappings. Input lag when attempting to dodge attacks. Glitchy missions/mechanics.",technical,
"Its real good",opinion,
"It's like a medieval RDR2, but instead of proper storytelling it leaves bits of its story around the world for you to discover.",opinion,
"Hands down one of my all time favorite games. If you're a fan of exploration and not having your hand held, this is the game for you.",opinion,
"Talk with Yann > Follow Yann on horseback > 'You go in alone' > solo the mission > repeat > hate yann",joke_meme,
"They patched a missing knowledge entry a week after I filed a bug report. That is Pearl Abyss's approach. After 930 hours I started a second playthrough.",opinion,
"Exploration gives me the warm fuzzies",joke_meme,
"100 hours in and I haven't even left the main territory yet. This is the Skyrim replacement I had been waiting for.",opinion,
"There are no words for how amazingly perfect this game is. Game of a Lifetime! 150hrs in and I've only seen maybe 20% of the map.",opinion,
"The game is fun but not worth full price — get it on sale. Runs at avg 80 fps on medium settings; sometimes crashes or infinite loading screens.",technical,
"I'm a former BDO player still getting used to it. Game works well on Linux with no issues and no crashes.",technical,
"I love exploring and finding new animal friends. I hope a future update includes a capybara pet (with armor of course).",opinion,
"After 40 hours this game is actually really good. Scenery 10/10, Combat 8/10, Exploration 11/10. Time skips fast.",opinion,
"One of the most impressive open-world action RPGs I've played in years. Right up there with Witcher 3, Elden Ring, and RDR2.",opinion,
"The game does everything right that modern games lack. I am finally enjoying a singleplayer game again.",opinion,
"Fun, and always pushing the envelope both from a technical and narrative aspect.",opinion,
"I waited over two months after launch. I feel like it gives me almost everything I want in a game.",opinion,
"great and awesome open world i hope on next dlc unlock more maps",opinion,
"The constant biweekly updates keep breaking mods. Everything breaks every update. Wait at least a year from release before buying.",opinion,
"It's a beautiful game but that's it. Controls are absurd and get even worse on mouse and keyboard. No direction, no story, no characters.",opinion,
"absolutely top tier game cant recommend enough",opinion,
"Very good. Takes mechanics from Black Desert and blends them into the best open world game I've played since Witcher 3.",opinion,
"Fun game, fun combat",opinion,
"Yet another useless update on a Friday, breaking mods. Stop pushing updates right before the weekend.",opinion,
"I am hooked to this game. Best game I have played after RDR2 and Cyberpunk 2077. Highly recommended, worth the price.",opinion,
"Best RPG I've ever played. The devs continue to improve and add new things. 9.5/10.",opinion,
"HIGHLY RECOMMEND THIS AWESOME GAME, LOVED IT.",opinion,
"10/10",joke_meme,
"Most games can't keep me hooked anymore... but Crimson Desert? That one is f***ing awesome.",opinion,
"This shit is legit",joke_meme,
"Errands in Hernand Simulator. 10 hours of good game but 133 hours of errands.",opinion,
"Gives me Witcher vibes but the story isn't as deep. Not a bad thing at all — it's absolutely incredible in its own way.",opinion,
"Amazing game. Worth it even at full price.",opinion,
"Please fix HDR",technical,
"All in all, great game",opinion,
"Update broke all my mods again",technical,
"good game",opinion,
"Played for 80 hours and still on chapter 6. Game is so good.",opinion,
"356 hours later Crimson Desert has my heart. The gameplay is incredible, the puzzles are clever, and the story hit me harder than I expected.",opinion,
"great game",opinion,
"I got lost in the sauce, Damiane's leglocked me",joke_meme,
"10/10",joke_meme,
"I have never reviewed a game on Steam but I had to for this one. Great game and the engine they built for it is absolutely phenomenal.",opinion,
"Everything is mediocre. Very boring quests, many features but none really interesting, bad puzzles, bad story.",opinion,
"One of the best open worlds I have ever played.",opinion,
"I love curiosity-driven open worlds like BoTW but I'm just wandering aimlessly here and bored out of my mind despite the gorgeous visuals. Worst $70 I've spent.",opinion,
"addicting idk y tho",joke_meme,
"Everyone kept telling me it gets better. 11 hours in at the supposed good part and I genuinely can't understand the appeal.",opinion,
"Lack of yellow paint, no companion hints, no internal monologues. Actually having to use your brain. Finally a $70 purchase I don't regret.",opinion,
"PEEEAAAAAAK",joke_meme,
"great game",opinion,
"This game is incredible! Medieval fantasy, dragon flying, mech suits — you can do it all!",opinion,
"Controls for PC were really wacky at first but this has to be one of the most beautiful games I've ever played.",opinion,
"PRETTY GOOD much to do worth a buy",opinion,
"Enjoy this game at 60 hours. Controls are weird but just different. Still got my money's worth.",opinion,
"Bored at first but the more I play the better it gets. Devs add new features consistently so it feels fresh every time.",opinion,
".",joke_meme,
"Fantastic open world game, slightly weak story, but very rewarding exploration.",opinion,
"If Elder Scrolls 6 doesn't do half the things this game did, eff Bethesda. GREAT open world 10/10 no collectathon bs HIGHLY RECOMMEND.",opinion,
"The story is just okay, but gameplay is fun. Looks fantastic if you have the PC power to push it.",opinion,
"Terribly optimized. You HAVE to restart the game after changing any setting or it becomes unstable. Even with a 9800X3D and RTX 5080 it struggles to perform.",technical,
"One of the best open world games in a long time. Beautiful huge map, plenty of quests to keep you invested.",opinion,
"AMAZING!!!!!!",joke_meme,
"Awesome game, with one of the deepest universes I've ever seen.",opinion,
"Jaw dropping visuals. Combat is epic, skill tree is great. Story and quest lines are fantastic. Massive map. I could live in this game.",opinion,
"Deep game with high level of detail.",opinion,
"Too many places that just feel bad to play. Seems like a game built by AI. Quest design had me quit after 20 hours.",opinion,
"yep",joke_meme,
"Great RPG getting better with every patch.",opinion,
"If it didn't have all that momentum bs it'd probably be good. Nothing worse than wanting a responsive game.",opinion,
"Over 300 hours in: KuKu Watcher mini turrets fail to activate with L2+R2, and performance drops significantly during large enemy camps.",technical,
"Feels janky like a Rockstar game but with the window dressing of an online MMO. Content-wise a steal; quality-wise lacking.",opinion,
"Every door is a flashbang: 100% black screen when entering buildings and 100% white when leaving. Pet sound effects stack with no option to disable.",technical,
"Lit",joke_meme,
"Amazing game. There is so much to do. The devs engage with the community more than any group I've seen in 40+ years of gaming.",opinion,
"8/10 just optimize dlss and its perfect",technical,
"Did 4 follow quests back to back. If a game mechanic makes you scared of doing side-quests in an RPG, something failed.",opinion,
"huge open world game, amazing story, remarkable fighting and gameplay",opinion,
"ultrawide experience is unrivaled. Great game mechanics working together for an awesome experience.",opinion,
"⭐⭐⭐⭐⭐",joke_meme,
"easily in my top 3 open world games of all time",opinion,
"World building, graphics, boss design: 10/10. Quests, story, puzzles, itemization: -10/10. Wasted potential to be the best RPG in recent years.",opinion,
"All of it!!!!!!!!!!!!! (sometimes)",joke_meme,
"A solid 9/10. Rough early-game phase of 7-8 hours to learn the controls. Exploration is very rewarding once it clicks.",opinion,
"Just plain not fun, too complicated controls and fighting boredom",opinion,
"bad quests and storytelling. the game has no respect for your time.",opinion,
"Feels like an indie early access game. Movement, combat, and quests all feel very rudimentary.",opinion,
"I love this game but it will be a thousand times better with a Coop 2-4 player option.",opinion,
"Controls: talk to merchants with R1+Square, others with just Square, jump is Square, X is run. What idiot thought switching staple controls was a good idea?",technical,
"This game is just great. 90 hours in and still learning new things. Can see myself playing this for the next 5+ years.",opinion,
"Brilliant game but Intel Arc users had no optimization at launch. World exploration is jaw-dropping despite inventory and boss frustrations.",technical,
"The exploration is remarkable. The immersion is unparalleled. I can get lost for hours and not get bored.",opinion,
"JUST EPIC",joke_meme,
"This game has consumed me",joke_meme,
"AMD PC graphics is a nightmare. Shadows and raytracing ruin the experience entirely even with a 9800X3D and RX 9070 XT.",technical,
"Possible game of the year. Largest map I've ever played on and the attention to detail is insane.",opinion,
"👍",joke_meme,
"What an absolute legend of a game. I felt like a child again.",opinion,
"From the very beginning the magic hits you hard. This is the best game out there. Over 100hrs and still in Hernand.",opinion,
"The fist-fight arena is broken. Inputs are inconsistent — some need a tap, some a touch, some a 2-second hold. Illegal moves trigger automatically with no way to avoid them.",technical,
"Spend your money somewhere else. Regret being 20 hours in before realizing how bland and boring it is.",opinion,
"Ok",joke_meme,product refunded
"Finished on Hard using just 2 moves to stunlock bosses. Still a 7/10 — amazing world but the final chapter disappointed.",opinion,
"Some patches the game crashes every 30 minutes; others it's totally stable. Not sure if it's my side with Nvidia or the updates themselves.",technical,
"If you liked going off the beaten track for invigorating discovery like in Skyrim, then get this.",opinion,
"Extremely fun and addictive but sometimes frustrating and terrible. Worth the price. Easy 400+ hours to do everything.",opinion,
"Vast, massive rpg open world game that will keep you playing.",opinion,
"One of my buds said it was good. Got it, played for a bit and I agree so far.",opinion,
"a game without the peer, aaa game quality. i jumped on a cart and went for a ride, i came i saw i conquered...i came a frog.",joke_meme,
"Waaahgh wrgh wagh wagh",joke_meme,
"This game is AWESOME! Not for everyone.",opinion,
"It may not be the most well-written game but everything else is breathtaking. Perfect for investing countless hours exploring.",opinion,
"amazeeeeng",joke_meme,
"this game gave me aids but like in a good way",joke_meme,
"i HATE FOLLOWING AND ESCORTING THE NPCs. oh yea, just go ahead and buy the game.",joke_meme,
"Massive interactive world, great combat animations, lots of mounts. Side quests are 90% repetitive fetch quests. Some FPS drops and awkward default controller layout.",opinion,
"one of the best games ever released. everything about it is absolutely epic! definitely a 10 star in my books!",opinion,
"Slow start but just keeps opening up. Such a fun and beautiful game.",opinion,
"This game has no tutorial and no quest direction. Visual effects are great, but the questline and gameplay are garbage!",opinion,
"Best modern game I've played. Pearl Abyss plays their games. First open world game worth playing in like 10 years.",opinion,
"the quests make me want to kill myself ive had to google more than half of them",joke_meme,
"Follow NPC slowly to a Quest. Carry sacks of corn for 5 minutes. Corn at wrong marker. Quest still not complete. Aight I'mma head out...",joke_meme,
"The world is huge! I don't like the strike button being Y rather than X, but other than that, unlimited possibilities.",opinion,
"Stunning Graphics and plenty of in game content",opinion,
"everything abt this game is fire",joke_meme,
"this is so great bro",joke_meme,
"One of the best games ever. Huge map and a lot of gameplay with pure fun and adventure.",opinion,
"Not for everyone, but for those who play 100h and have everything click, this is GOTY.",opinion,
"This is more than my 16-year-old self could have ever wished for. I don't think Bethesda is going to be able to top this.",opinion,
"The level of detail is nothing short of an emotional experience. My kindling hopes of touching grass have been dashed.",opinion,
"Play it.",joke_meme,
"Goated.",joke_meme,
"Yes.",joke_meme,
"38 hours in - havent left hernand bro",joke_meme,
"The game is in a much better state than at launch. The real highlights are exploration and combat. Developers keep listening to feedback.",opinion,
"movement is so clunky, narrative is weak. there's a lot to do but you don't know why you're doing it.",opinion,
"Way too convoluted controls. Not worth it due to that.",opinion,
"There's a lot to do as a sandbox. The map is huge, quests can be bugged, but combat is easy once you learn it.",opinion,
"six seven bbq 420 69 xxx. Frank says hi.",joke_meme,
"Skyrim + RDR2 = Crimson Desert",joke_meme,
"Controls took time to get used to but once you're in it's hard to put down! Beautiful game, deep mechanics, and fun gameplay. GOTY.",opinion,
"gg",joke_meme,
"120h in, just finished main quests. Combat is one of the best aspects once you understand movesets. Story is incoherent but tolerable.",opinion,
"You can pick up and tame cats, kill hundreds of people and beat up a gorilla guy. I'm happy :D",joke_meme,
"I loved this big dumb game. The exploration is the best since Skyrim. One of the most frustrating games I've played but one I'll never forget.",opinion,
"Anyone who thinks Crimson Desert ends after the story is mistaken. After a complex start, the game pulls you in like nothing since Skyrim.",opinion,
"I am usually a big story guy and this is about the only place this game is lacking. The world they built is nothing short of amazing.",opinion,
"Amazing Game!",opinion,
"Like good old-fashioned Assassin's Creed without the recent political pandering.",opinion,contains political commentary
"very enjoy much wow! graphics and mechanics wow... gameplay much wow! wow",joke_meme,
"Great game, full of content, massive open world!",opinion,
"Optimized insanely well. I played it on an old GTX1650 laptop below minimum specs and was still able to play comfortably throughout.",technical,
"Game sucks for the horse taming minigame alone, horrendous performance aside.",opinion,edge case: brief performance mention
"I accidentally bumped into someone and they told me to f*ck off. 10/10 realism",joke_meme,
"Solid Action-Adventure similar to RDR2 — better gameplay and world design but weaker story. Graphics and combat excellent; quests and narrative need work. 8/10, recommended on sale.",opinion,
"two words, cat army!",joke_meme,
"Do not buy on PC — terrible blurry mess with weird artifact spawning and grainy look. Unfixable; buy it on PS5 instead.",technical,
"Game crashes every 10–20 minutes even on the lowest settings. Spent an hour replaying the same quest 5 times due to crashes. Gameplay 8/10, Performance 0/10.",technical,
"Game crashes every 30 minutes and a recent patch made it completely unlaunchable. Controls are clunky, puzzles make no sense, not worth $70.",opinion,
"The end game boss is bugged and unbeatable — a bug present since launch. You can't actually finish the game right now.",technical,
"Looks impressive visually but feels hollow in practice — no personality or charm. Hit ten bugs in under two hours, one requiring a full reinstall.",opinion,
"Has potential but feels too clunky and buggy. Needs more polish in movement, lighting, and keybind simplification.",opinion,
"Exploration and graphics are excellent, but puzzles are unintuitive, buggy, and overly punishing. Combat balance is inconsistent.",opinion,
"Was great until bugs made it unenjoyable. Character can't climb consistently and buggy controls dominate the experience after 100+ hours.",opinion,
"Comrades stuck as 'dispatched' with no way to remove that status — a bug present since launch.",technical,
"Awful camera, unplayable buggy mess, not fun to progress. Put it back in the oven, it's not done.",opinion,
"Crashed 5 times in the first 4 hours. Significant shadow and graphical flickering even with ray tracing on recommended settings.",technical,
"Game refuses to start after the recent update — crashes immediately after selecting a save or new game.",technical,
"Game is less stable than my grandpa after 5 vodka shots. Controls require memorizing complex button combinations. Follow quests with slow NPCs; boss designs are gimmick spam.",opinion,
"Virtually unplayable after update 1.04 — pop-ins break immersion and force you to wait for models to load.",technical,
"TAA causes blurring, grain, pop-in, and ghosting. No way to disable it. Game looks like it's at lower resolution than actually set.",technical,
"Horse spawning system could be faster and more convenient.",opinion,
"Game is too bright on SDR monitors. HDR doesn't work properly. Camera distance not remembered after cutscenes. Button conflicts when reassigning controls.",technical,
"Combat horrible and controls horrible. Too many different button presses. Endless waves of overwhelming enemies with chain stun mechanics.",technical,
"Combat cheap and repetitive. Pop-in and graphical issues even on max settings. Story makes no sense. World feels empty. Buggy and game-breaking.",opinion,
"Combat clunky and movement unresponsive. Changing any setting requires game restart or it becomes unstable. Optimization terrible even on RTX 5080.",technical,
"Lighting is broken. HDR turns game into dark mode. Raytracing makes lights persist 3-4 seconds on walls. Game looks awful with lighting.",technical,
"Game completely unplayable — shows 'unsupported CPU' error despite having a Ryzen 7 9800X3D. Can't access support to fix.",technical,
"Too many bugs and their own reporting system does not work.",technical,
"Spent 131 hours facing tons of unfixed bugs: character switching broken, Gristle boss glitch causes boss to disappear, many missions glitched.",technical,
"Game crashes at loading screen after every patch. Very bad and buggy. Price too high.",technical,
"Game breaking bugs everywhere — glitched puzzles, boss fights, NPCs. Controls yanky and unresponsive. Story is worst ever seen in AAA game.",opinion,
"Couldn't get above 30fps and crashing every 15 minutes. Has problems specific to RTX 9070XT.",technical,
"Can't recommend it even after 60+ hours. Need RTX 4070 minimum. Game of the year if you can run it.",technical,
"Can't get above 23-29 FPS on 4K even with recommended specs. Upscaling and frame generation make it worse. Only worth $20 on sale.",technical,
"Wooden shield appearing on back ruins aesthetic — otherwise 10/10 game.",joke_meme,
"AAA title and can't rebind WASD movement keys?!",technical,
"Ghost of Assassin's Creed: Tears of the Witcher's Elden Ring",joke_meme,
"Gamers: What can we do in this game? Devs: Yes.",joke_meme,
"Looks terrible on maxed graphics. Unplayable without mods and reshade addons which break every patch. Has Denuvo anti-cheat.",technical,
"Game struggles to run above 60fps even with RTX 5090 and Ryzen 9800X3D.",technical,
"Game overheats so much the cooling water pipes came off and ruined PC.",technical,
"Clunky but great.",opinion,
"MacBook Pro M4 Pro with 48GB RAM can't reach 20 FPS despite being listed as recommended.",technical,
"Dialogues and storytelling courtesy of ChatGPT.",joke_meme,
"Poorly optimized — 20 fps on RTX 5060 and Ryzen 7 5700X is crazy in 2026.",technical,
"There must be an invisible wagon hooked up to this guy. Clunky, fat, slow bastard.",joke_meme,
"Stuttering and frame pacing issues even with RTX 4090. Game feels unoptimized despite high-end hardware. TAA makes motion blur unbearable.",technical,
"Black screen flicker when opening inventory. Has to restart game every 20 minutes to fix it. Game-breaking bug.",technical,
"Cannot remap jump and dodge to same button. Massive control restriction compared to other RPGs. Bad UI design.",technical,
"Shadows flicker inconsistently at 30+ fps on Intel Arc GPU. Intel optimization is completely broken for this engine.",technical,
"Game doesn't use full VRAM even at ultra settings. Massive CPU bottleneck even on high-end cards. Terrible port.",technical,
"Audio cuts out randomly during cutscenes. Has to restart to hear dialogue properly. Unacceptable for AAA title.",technical,
"Game tanks performance when playing fullscreen vs borderless. No explanation from devs. Inconsistent optimization.",technical,
"I've spent 200 hours and still don't know what I'm doing. 11/10.",joke_meme,
"The horse runs slower than I walk. Fastest way to travel is on foot.",joke_meme,
"Somehow clipped through a mountain and discovered the real endgame boss.",joke_meme,
"Pressed every button combination. Now the game is possessed. Send help.",joke_meme,
"Finally beat the game. Only took longer than my college degree.",joke_meme,
"The NPCs have more personality than the main story. Imagine that.",joke_meme,
"My therapist says I have Crimson Desert addiction. Therapist is wrong.",joke_meme,
